job_title,age_years,performance_score,education,seniority_years,pay_yearly,male_female
Project Manager,34,33.33,High School,4,118503,M
Marketing associate,66,16.67,High School,3,129393,M
Marketing associate,51,50,Masters,8,139440,M
Sales representative,26,16.67,Masters,3,118191,F
Account executive,36,50,PhD,4,77717,M
Dog trainer,36,50,College,6,53533,F
Account executive,35,33.33,College,7,92030,F
Dog trainer,18,83.33,College,0,79461,F
Web Designer,31,50,High School,4,71262,M
Sales representative,31,83.33,PhD,3,113232,M
Dog trainer,54,50,High School,5,149799,F
Account executive,23,50,Masters,3,77655,F
Marketing associate,35,33.33,Masters,5,119745,M
Sales representative,48,0,High School,7,115128,F
Sales representative,44,66.67,High School,4,101147,F
Account executive,54,50,Masters,7,103652,M
Sales representative,38,66.67,College,8,99716,F
Marketing associate,19,100,Masters,2,115238,M
Web Designer,31,66.67,PhD,3,76617,F
Account executive,58,33.33,High School,3,90403,M
Project Manager,60,50,College,8,146689,M
Project Manager,32,66.67,College,1,74629,M
Project Manager,46,83.33,College,2,108059,M
Account executive,62,16.67,Masters,3,101707,M
Sales representative,23,66.67,College,3,49201,F
Web Designer,62,33.33,Masters,5,113517,F
Dog trainer,47,100,High School,7,100801,F
Dog trainer,60,16.67,PhD,8,140470,F
Sales representative,42,50,High School,5,80834,M
Project Manager,48,66.67,High School,9,144418,M
Dog trainer,52,33.33,Masters,1,66441,F
Project Manager,37,100,High School,5,97803,M
Project Manager,58,50,College,6,134098,M
Web Designer,23,33.33,High School,1,45891,F
Marketing associate,58,66.67,High School,4,109211,M
Dog trainer,50,100,Masters,7,85662,M
Account executive,62,50,PhD,10,140857,F
Sales representative,40,33.33,High School,7,99282,F
Dog trainer,60,66.67,Masters,6,104142,M
Sales representative,53,16.67,PhD,6,93625,F
Dog trainer,67,33.33,Masters,5,75115,F
Project Manager,56,83.33,Masters,2,105809,M
Dog trainer,34,83.33,Masters,5,66819,F
Sales representative,20,83.33,Masters,4,95751,M
Sales representative,38,33.33,Masters,1,85884,M
Marketing associate,20,50,Masters,1,93555,M
Dog trainer,26,66.67,College,4,51378,M
Dog trainer,33,16.67,High School,11,94083,F
Web Designer,66,100,Masters,5,141058,M
Project Manager,19,33.33,PhD,3,70224,F
Sales representative,23,0,PhD,4,122063,F
Web Designer,23,50,College,4,83682,F
Web Designer,54,100,PhD,5,129859,M
Dog trainer,62,33.33,Masters,5,113287,F
Marketing associate,57,0,College,8,119448,F
Account executive,58,50,High School,8,117407,F
Dog trainer,47,16.67,PhD,3,73671,F
Dog trainer,52,33.33,High School,7,100871,F
Sales representative,45,66.67,High School,2,96838,M
Dog trainer,42,66.67,College,9,79462,F
Dog trainer,56,50,High School,5,90548,F
Dog trainer,24,16.67,High School,3,70118,F
Project Manager,30,66.67,Masters,4,103200,M
Dog trainer,40,16.67,PhD,4,75237,F
Dog trainer,52,66.67,High School,8,93227,F
Dog trainer,50,0,College,10,92863,F
Sales representative,30,66.67,PhD,9,104675,M
Sales representative,19,50,College,3,89315,M
Sales representative,22,50,Masters,3,95086,F
Web Designer,56,66.67,Masters,6,102928,F
Sales representative,37,66.67,PhD,6,110691,F
Marketing associate,47,33.33,College,5,117620,M
Sales representative,43,66.67,High School,6,92742,M
Sales representative,45,66.67,Masters,3,88226,F
Dog trainer,57,50,Masters,3,71288,F
Sales representative,57,16.67,College,5,111598,F
Sales representative,59,50,High School,8,96745,M
Sales representative,47,83.33,PhD,3,99756,F
Sales representative,44,33.33,PhD,7,109620,M
Dog trainer,42,66.67,Masters,6,86345,F
Account executive,24,50,PhD,4,110630,M
Web Designer,61,66.67,PhD,1,110063,M
Web Designer,52,83.33,College,3,113791,F
Web Designer,55,66.67,High School,6,118431,M
Web Designer,41,83.33,High School,3,98655,F
Account executive,54,66.67,Masters,9,128488,F
Dog trainer,45,83.33,Masters,7,107020,F
Web Designer,49,83.33,Masters,5,102795,M
Project Manager,28,66.67,College,5,74140,F
Dog trainer,30,16.67,High School,4,57711,M
Sales representative,51,66.67,High School,6,111246,M
Account executive,21,33.33,PhD,3,103432,M
Web Designer,59,0,PhD,7,88925,F
Dog trainer,43,50,High School,9,95242,M
Dog trainer,54,33.33,College,6,115532,M
Web Designer,54,100,College,10,126235,M
Dog trainer,32,100,High School,1,53636,F
Project Manager,62,83.33,College,9,181662,M
Project Manager,57,66.67,Masters,7,140598,M
Marketing associate,29,66.67,High School,3,99623,M
Dog trainer,44,33.33,High School,4,97574,M
Project Manager,62,66.67,PhD,8,158941,M
Dog trainer,35,83.33,High School,3,105266,M
Sales representative,25,50,High School,0,56583,M
Dog trainer,56,33.33,PhD,3,63691,M
Project Manager,55,33.33,Masters,7,145686,F
Marketing associate,62,33.33,PhD,6,122482,M
Sales representative,49,33.33,High School,2,90329,F
Account executive,47,83.33,College,3,113951,F
Account executive,38,66.67,Masters,7,94802,M
Account executive,33,66.67,College,6,61537,F
Web Designer,18,50,PhD,0,60553,M
Sales representative,65,100,PhD,0,123037,M
Marketing associate,53,83.33,PhD,6,150829,M
Project Manager,22,66.67,High School,2,95661,M
Account executive,22,16.67,Masters,3,58821,M
Project Manager,58,0,Masters,9,118818,M
Sales representative,22,0,Masters,4,59455,F
Project Manager,38,50,PhD,4,101670,F
Project Manager,37,0,Masters,9,106038,F
Sales representative,35,0,College,7,43848,M
Dog trainer,67,0,High School,8,116325,M
Dog trainer,52,33.33,PhD,9,120830,M
Dog trainer,51,33.33,PhD,6,96972,F
Dog trainer,33,83.33,College,8,103014,M
Project Manager,59,16.67,High School,3,152069,F
Project Manager,28,66.67,College,10,110682,F
Sales representative,38,16.67,Masters,1,55059,M
Dog trainer,25,16.67,College,1,54420,F
Dog trainer,62,33.33,College,7,120148,M
Account executive,22,50,High School,2,67704,M
Account executive,37,50,College,3,71030,F
Marketing associate,36,66.67,High School,7,109121,M
Account executive,45,33.33,High School,5,95206,M
Account executive,68,83.33,PhD,2,135168,F
Web Designer,35,83.33,College,9,97902,F
Dog trainer,63,33.33,High School,5,97990,F
Dog trainer,26,0,PhD,4,96117,F
Web Designer,38,0,High School,7,117874,M
Project Manager,29,100,PhD,4,53867,F
Sales representative,62,50,College,5,108360,F
Marketing associate,65,50,PhD,5,143183,M
Dog trainer,26,16.67,High School,5,49285,F
Sales representative,33,83.33,High School,1,78182,M
Account executive,30,83.33,Masters,7,105380,F
Dog trainer,42,66.67,PhD,1,71160,F
Web Designer,59,33.33,Masters,2,87509,M
Dog trainer,59,33.33,Masters,1,77507,F
Marketing associate,27,100,High School,4,96559,M
Account executive,59,66.67,College,7,132381,M
Project Manager,60,83.33,High School,5,101214,F
Marketing associate,62,33.33,High School,4,130743,M
Project Manager,55,33.33,College,5,134698,M
Marketing associate,20,66.67,Masters,1,131388,M
Web Designer,20,66.67,Masters,2,44294,F
Project Manager,41,0,PhD,7,128578,M
Account executive,57,66.67,PhD,5,142991,M
Project Manager,31,33.33,Masters,2,119627,F
Marketing associate,30,50,High School,2,85482,M
Project Manager,46,16.67,College,8,81649,F
Account executive,57,0,High School,7,89656,F
Marketing associate,20,83.33,Masters,2,103972,F
Account executive,68,50,PhD,7,126788,F
Dog trainer,58,50,College,4,72495,F
Dog trainer,39,100,High School,6,95464,F
Dog trainer,30,100,College,5,86787,F
Web Designer,42,50,High School,6,104027,M
