,CN,HT,SITREE,common_name,scientific_name
208659,15458334010497,90.0,52.0,white fir,Abies concolor
203043,15375836010497,44.0,50.0,white fir,Abies concolor
201091,15384570010497,37.0,45.0,white fir,Abies concolor
195762,15337555010497,120.0,85.0,white fir,Abies concolor
199488,15358775010497,53.0,60.0,white fir,Abies concolor
200202,15366514010497,27.0,74.0,white fir,Abies concolor
199371,15315121010497,73.0,59.0,white fir,Abies concolor
198433,15341248010497,86.0,69.0,white fir,Abies concolor
202793,15651559010497,114.0,52.0,white fir,Abies concolor
205517,15354486010497,52.0,43.0,white fir,Abies concolor
196708,15346649010497,25.0,54.0,white fir,Abies concolor
205703,15353930010497,54.0,59.0,white fir,Abies concolor
200902,15655568010497,140.0,57.0,white fir,Abies concolor
203986,15331953010497,49.0,61.0,white fir,Abies concolor
203484,15293679010497,132.0,77.0,white fir,Abies concolor
202980,15375772010497,30.0,50.0,white fir,Abies concolor
207846,15291926010497,54.0,51.0,white fir,Abies concolor
206499,15382451010497,150.0,86.0,white fir,Abies concolor
210933,15379949010497,107.0,60.0,white fir,Abies concolor
206427,15325277010497,77.0,69.0,white fir,Abies concolor
197500,15345563010497,31.0,42.0,white fir,Abies concolor
203750,15333608010497,57.0,50.0,white fir,Abies concolor
206324,15370134010497,56.0,57.0,white fir,Abies concolor
205432,15353639010497,34.0,49.0,white fir,Abies concolor
203038,15375831010497,24.0,50.0,white fir,Abies concolor
200836,15365436010497,111.0,58.0,white fir,Abies concolor
205404,15353610010497,63.0,49.0,white fir,Abies concolor
199595,15316201010497,19.0,48.0,white fir,Abies concolor
207804,15329754010497,130.0,41.0,white fir,Abies concolor
200485,15366112010497,22.0,50.0,white fir,Abies concolor
199591,15316197010497,47.0,48.0,white fir,Abies concolor
202983,15375775010497,44.0,50.0,white fir,Abies concolor
204365,15309599010497,115.0,45.0,white fir,Abies concolor
199880,15315632010497,42.0,50.0,white fir,Abies concolor
200480,15366107010497,36.0,50.0,white fir,Abies concolor
205425,15353632010497,29.0,49.0,white fir,Abies concolor
201101,15384580010497,30.0,45.0,white fir,Abies concolor
200431,15366058010497,76.0,50.0,white fir,Abies concolor
202753,15651519010497,30.0,52.0,white fir,Abies concolor
208642,15458317010497,66.0,52.0,white fir,Abies concolor
196734,15346687010497,108.0,54.0,white fir,Abies concolor
199882,15315634010497,32.0,50.0,white fir,Abies concolor
201095,15384574010497,67.0,45.0,white fir,Abies concolor
200577,15363381010497,116.0,44.0,white fir,Abies concolor
199956,15316048010497,106.0,64.0,white fir,Abies concolor
205747,15354891010497,96.0,55.0,white fir,Abies concolor
205899,15361208010497,52.0,77.0,white fir,Abies concolor
209019,15343455010497,49.0,49.0,white fir,Abies concolor
204859,15650701010497,57.0,46.0,white fir,Abies concolor
205419,15353625010497,120.0,49.0,white fir,Abies concolor
209947,15376754010497,135.0,61.0,white fir,Abies concolor
196728,15346681010497,84.0,54.0,white fir,Abies concolor
205805,15317122010497,67.0,37.0,white fir,Abies concolor
200561,15363365010497,101.0,44.0,white fir,Abies concolor
203170,15382858010497,9.0,24.0,white fir,Abies concolor
204843,15650685010497,88.0,46.0,white fir,Abies concolor
201875,15375368010497,110.0,67.0,white fir,Abies concolor
206178,15370727010497,38.0,61.0,white fir,Abies concolor
198653,15383453010497,31.0,79.0,white fir,Abies concolor
205620,15352713010497,29.0,82.0,white fir,Abies concolor
201085,15384564010497,74.0,45.0,white fir,Abies concolor
205103,15310802010497,30.0,56.0,white fir,Abies concolor
200370,15384868010497,90.0,43.0,white fir,Abies concolor
200969,15317568010497,44.0,58.0,white fir,Abies concolor
205602,15355132010497,31.0,36.0,white fir,Abies concolor
199896,15315648010497,35.0,50.0,white fir,Abies concolor
209107,15301944010497,37.0,59.0,white fir,Abies concolor
200355,15384851010497,84.0,43.0,white fir,Abies concolor
202530,15322233010497,36.0,60.0,white fir,Abies concolor
195067,15455821010497,61.0,73.0,white fir,Abies concolor
201067,15384546010497,58.0,45.0,white fir,Abies concolor
200973,15317572010497,80.0,58.0,white fir,Abies concolor
203638,15332867010497,137.0,88.0,white fir,Abies concolor
201352,15318024010497,33.0,39.0,white fir,Abies concolor
200374,15384872010497,64.0,43.0,white fir,Abies concolor
205021,15353231010497,52.0,58.0,white fir,Abies concolor
205470,15356012010497,21.0,45.0,white fir,Abies concolor
204008,15331976010497,7.0,61.0,white fir,Abies concolor
