scientific_name,SITREE
Abies concolor,57.03358373840035
Abies magnifica,54.53856942496494
Abies shastensis,44.73362445414847
Arbutus menziesii,86.98314606741573
Calocedrus decurrens,57.7853170189099
Lithocarpus densiflorus,90.30474604496253
Pinus albicaulis,32.17610062893082
Pinus contorta,57.264945652173914
Pinus jeffreyi,59.114139693356044
Pinus lambertiana,58.48407643312102
Pinus monticola,50.19871794871795
Pinus ponderosa,75.4727668845316
Pseudotsuga menziesii,77.4007473143391
Quercus chrysolepis,73.2004716981132
Quercus douglasii,94.10839160839161
Quercus kelloggii,77.50190839694656
Quercus wislizeni,91.75527426160338
Sequoia sempervirens,101.32926829268293
