PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_price,Sale_year
Residential,3080013000,3033 N 35TH ST,,7,2960,AP 1,Frame,2.0,1913,0,3476,4,9,1,0,5040,42000,2002
Residential,3190434000,1908 E WEBSTER PL,,3,3170,Rm or Rooming House,Frame,2.0,1897,0,1992,4,2,2,0,2880,145000,2002
Residential,3891722000,812 N 25TH ST,,4,3040,Rm or Rooming House,Frame,2.0,1907,0,2339,6,0,1,0,3185,30000,2002
Residential,3880628000,959 N 34TH ST,,4,2300,AP 1,Frame,2.0,1890,0,2329,4,4,1,0,5781,66500,2002
Residential,3880406000,3209 W WELLS ST,,4,2300,Mansion,Stone,2.5,1891,0,7450,2,7,6,0,15600,150500,2002
Residential,4689939000,2143 S 11TH ST,,12,4120,Duplex O/S,Frame,1.5,1906,0,2462,2,3,2,0,5075,75000,2002
Residential,3900518000,1116 N 13TH ST,,4,3040,Rm or Rooming House,Frame,1.5,1890,0,2372,6,2,2,0,7750,35000,2002
Residential,5330310000,3350 W RUSKIN ST,,11,4400,Cape Cod,Brick,1.0,1950,0,1149,1,3,1,0,4800,75000,2003
Residential,2090099100,4826 N 51ST BL,,1,1150,Cape Cod,Aluminum / Vinyl,1.0,1947,0,994,1,3,1,0,4200,22000,2003
Residential,1920011000,3706A W SHERIDAN AV,,1,1160,AP 1,Stucco,2.0,1905,0,2938,4,3,1,0,9480,125000,2003
Residential,1960104000,5545 N 12TH ST,,1,1220,Cape Cod,Brick,1.0,1951,0,1620,1,4,2,0,7800,148500,2003
Residential,5780032000,1504 W LEROY AV,,13,4660,Ranch,Brick,1.0,1956,0,986,1,3,1,0,10428,105000,2003
Residential,3600203000,1686 N ASTOR ST,,3,3240,Rm or Rooming House,Frame,2.0,1890,0,2360,8,1,2,0,4560,125000,2004
Residential,4590715000,1735 S 23RD ST,,8,4120,Cottage,Aluminum / Vinyl,1.0,1903,0,1156,1,2,1,0,2280,29000,2004
Residential,3881550100,2706 W STATE ST,,4,2300,AP 1,Frame,2.0,1895,0,3269,4,6,1,0,5668,115000,2004
Residential,3491731000,2915 W BROWN ST,,15,2420,AP 1,Frame,2.0,1899,0,3380,4,10,1,0,4520,70000,2005
Residential,3881805000,2813 W STATE ST,,4,2300,AP 1,Frame,2.0,1908,0,2775,4,4,1,0,4230,50000,2005
Residential,4330033000,1009 S 17TH ST,,12,4050,Rm or Rooming House,Frame,2.0,1889,0,2796,8,0,2,1,6450,109900,2005
Residential,4270505000,627 S 6TH ST,,12,4020,Rm or Rooming House,Frame,2.0,1889,0,1930,6,1,2,0,2950,55000,2005
Residential,3651439000,3210 W JUNEAU AV,,4,2300,Rm or Rooming House,Frame,2.0,1913,0,2872,7,3,2,2,4200,92000,2005
Residential,5490037000,554 W HOWARD AV,,13,4620,AP 1,Brick,2.0,1949,0,2430,4,6,1,0,5400,230000,2005
Residential,3881807000,2825 W STATE ST,,4,2300,AP 1,Frame,2.0,1890,0,3243,4,8,1,0,4150,77000,2005
Residential,2819989000,3276 N RICHARDS ST,,6,2900,AP 1,Frame,2.0,1905,0,3346,4,4,1,0,4551,110000,2005
Residential,4320666000,1030 W MINERAL ST,,12,4040,Rm or Rooming House,Frame,2.0,1900,0,2679,7,7,2,0,3500,97000,2005
Residential,4310204000,1100 S 4TH ST,,12,4020,AP 1,Frame,2.0,1880,0,3459,4,8,1,0,3500,180000,2006
Residential,3200820000,1631 E BELLEVIEW PL,,3,3190,AP 1,Stucco,2.0,1895,0,3208,4,5,1,0,3252,343100,2006
Residential,3230462200,2624 N 6TH ST,,6,2920,AP 1,Block,2.0,1956,0,1920,4,4,1,0,5250,48000,2006
Residential,3190406000,2565 N CRAMER ST,,3,3170,AP 1,Stucco,2.0,1916,0,2800,4,2,1,0,5080,250000,2006
Residential,3130309000,2823 N 2ND ST,,6,2930,Duplex O/S,Brick,2.0,1908,0,2646,2,6,2,0,6000,124100,2006
Residential,3881805000,2813 W STATE ST,,4,2300,Duplex O/S,Frame,2.0,1908,0,3466,2,6,4,0,4230,176800,2006
Residential,3080013000,3033 N 35TH ST,,7,2960,AP 1,Frame,2.0,1913,0,3476,4,9,1,0,5040,104000,2006
Residential,2480354000,4113 N 47TH ST,,7,1680,Cottage,Frame,1.0,1932,0,761,1,3,1,0,4680,31100,2006
Residential,2819989000,3276 N RICHARDS ST,,6,2900,AP 1,Frame,2.0,1905,0,3346,4,4,1,0,4551,216000,2006
